#,organization-name,city-state,organization-type,position-held,from,to
278,Trump Florida Management LLC,"New York, NY",LLC,Member,6/13/2005,To Date
279,Trump Florida Manager Corp.,"New York, NY",Corporation,Director/President,6/10/2005,To Date
280,The Trump Follies LLC,"New York, NY",LLC,Member & President,12/14/2006,To Date
283,Trump Golf Acquisition LLC,"New York, NY",LLC,Member/President,04/23/10,To Date
284,Trump Golf Coco Beach LLC,"New York, NY",LLC,Member/President,12/11/07,To Date
285,Trump Golf Coco Beach Member Corp,"New York, NY",Corporation,Director/President,12/11/2007,To Date
286,Trump Golf Management LLC,"New York, NY",LLC,Member/President,1/28/2005,To Date
287,Trump Home Marks LLC,"New York, NY",LLC,Member/President,11/19/2009,To Date
288,Trump Home Marks Member Corp,"New York, NY",Corporation,President/Director,11/19/2009,To Date
289,Trump Ice LLC,"New York, NY",LLC,President/Member,3/25/2004,To Date
290,"Trump Ice, Inc.","New York, NY",Corporation,Director/President,3/3/1999,To Date
291,Trump Identity LLC,"New York, NY",LLC,Member,3/30/2009,10/20/2014
292,Trump ldentlty Member Corp,"New York, NY",Corporation,President/Director,3/30/2009,10/20/2014
293,Trump International Development LLC,"New York, NY",LLC,Member/President,11/29/10,To Date
294,Trump International Development Member Corp,"New York, NY",Corporation,President/Director/Chairman,11/29/2010,To Date
295,Trump International Golf Club LC (Trump International Golf Club - Florida),"Palm Beach, Florida",LLC,Member & President,5/3/1997 & 11/1/13,To Date
296,Trump International Golf Club Scotland Limited,"Aberdeen, Scotland",Foreign Entity,Director & Chairman,1/24/06 & 3/13/06,To Date
297,Trump International Golf Club Inc.,"Palm Beach, Florida",Corporation,President/Director/Secretary/Treasurer,12/09/96,To Date
298,Trump International Hotel and Tower Condominium,"New York, NY",Condominium Association,President,September-96,To Date
299,Trump International Hotel Hawaii LLC,"New York, NY",LLC,President,9/10/2009,To Date
300,Trump International Hotels Management LLC,"New York, NY",LLC,President/Member,6/13/2006,To Date
301,Trump International Management Corp,"New York, NY",Corporation,President/Director,7/2/1996,To Date
302,Trump Kelowna LLC,"New York, NY",LLC,President/Member,07/31/08,10/3/2014
303,Trump Kelowna Member Corp.,"New York, NY",Corporation,President/Director,7/31/2008,10/3/2014
304,Trump Korean Projects LLC,"New York, NY",LLC,Member,5/4/1999,To Date
305,Trump Las Olas LLC,"New York, NY",LLC,Member,6/10/2005,To Date
306,Trump Las Olas Member Corp,"New York, NY",Corporation,Director/President,6/10/2005,To Date
307,Trump Las Vegas Corp.,"Las Vegas, NV",Corporation,Director/President,12/4/2009,To Date
308,Trump Las Vegas Development LLC,"Las Vegas, NV",LLC,President/Member,10/10/2002,To Date
309,Trump Las Vegas Managing Member LLC,"Las Vegas, NV",LLC,President/Member,10/10/2002,To Date
312,Trump Las Vegas Member LLC,"Las Vegas, NV",LLC,President/Member,10/1/2002,To Date
314,Trump Las Vegas Sales & Marketing Inc,"Las Vegas, NV",Corporation,President,10/8/2004,To Date
316,Trump Lauderdale Development 2 LLC,"New York, NY",LLC,Member,9/8/2004,To Date
317,Trump Lauderdale Development LLC,"New York, NY",LLC,President & Member,1/ 12/04 & 9/22/2003,To Date
318,Trump Management Inc.,"New York, NY",Corporation,Director & VP,04/22/69,to Date
319,Trump Marketing LLC,"New York, NY",LLC,Member/President,02/10/11,To Date
320,Trump Marks Asia Corp,"New York, NY",Corporation,President/Chairman/Director,3/3/2008,To Date
321,Trump Marks Asia LLC,"New York, NY",LLC,President,2/29/08  11/14/11 & 2/29/08,To Date
322,Trump Marks Atlanta LLC,"New York, NY",LLC,Member/President,5/1/2008,To Date
323,Trump Marks Atlanta Member Corp,"New York, NY",Corporation,President/Director/Chairman,5/1/2008,To Date
324,Trump Marks Baja Corp.,"New York, NY",Corporation,President/Director,6/13/2007,10/22/2015
325,Trump Marks Baja LLC,"New York, NY",LLC,Member & President,6/13/2007,10/26/2015
326,Trump Marks Batumi LLC,"New York, NY",LLC,Member & President,3/3/11 & 3/9/11,To Date
327,Trump Marks Batumi Member Corp,"New York, NY",Corporation,President/Director/Chairman,3/9/2011,To Date
328,Trump Marks Beverages Corp,"New York, NY",Corporation,President/Director/Chairman,9/25/2007,10/22/2015
329,Trump Marks Beverages LLC,"New York, NY",LLC,Member/President,9/25/2007,10/26/2015
330,Trump Marks Canouan Corp,"New York, NY",Corporation,President/Director/Chairman,5/17/2007,To Date
331,Trump Marks Canouan LLC,"New York, NY",LLC,Member/President,5/17/2007,To Date
332,Trump Marks Chicago LLC,"New York, NY",LLC,Member/President,4/14/2010,To Date
333,Trump Marks Chicago Member Corp,"New York, NY",Corporation,President/Director/Chairman,4/14/2010,To Date
336,Trump Marks Dubai Corp,"New York, NY",Corporation,President/Director/Chairman,6/13/2007,To Date
337,Trump Marks Dubai LLC,"New York, NY",LLC,President/Member,6/13/2007,To Date
338,Trump Marks Egypt Corp,"New York, NY",Corporation,President/Director/Chairman,9/17/2007,To Date
339,Trump Marks Egypt LLC,"New York, NY",LLC,President/Member,9/17/2007,To Date
340,Trump Marks Fine Foods LLC,"New York, NY",LLC,President/Member,9/11/2009,To Date
341,Trump Marks Fine Foods Member Corp,"New York, NY",Corporation,President/Director/Chairman,9/11/2009,To Date
342,Trump Marks Ft. Lauderdale LLC,"New York, NY",LLC,President/Member,11/6/2007,To Date
343,Trump Marks Ft. Lauderdale Member Corp,"New York, NY",Corporation,President/Director/Chairman,11/6/2007,To Date
344,Trump Marks Golf Swing LLC,"New York, NY",LLC,President/Member,3/13/2008,9/30/2014
345,Trump Marks Golf Swing Member Corp,"New York, NY",Corporation,Director/President,3/13/2008,9/30/2014
346,Trump Marks GP Corp,"New York, NY",Corporation,President/Director/Chairman,7/12/2005,To Date
347,Trump Marks Holding LP (FKA Trump Marks LP),"New York, NY",Partnership,Partner,5/25/2005,To Date
348,Trump Marks Hollywood Corp,"New York, NY",Corporation,Director/Chairman/President,4/10/2007,To Date
349,Trump Marks Hollywood LLC,"New York, NY",LLC,President/Member,4/9/2007,To Date
350,Trump Marks Istanbul II Corp.,"New York, NY",Corporation,Director/Chairman/President,3/19/2008,To Date
351,Trump Marks Istanbul II LLC,"New York, NY",LLC,President/Member,3/18/2008,To Date
352,Trump Marks Jersey City Corp.,"New York, NY",Corporation,Director/President,6/27/2007,To Date
353,Trump Marks Jersey City LLC,"New York, NY",LLC,President/Member,6/22/2007,To Date
354,Trump Marks Las Vegas Corp,"New York, NY",Corporation,Director/President,9/10/2007,To Date
355,Trump Marks Las Vegas LLC,"New York, NY",LLC,President/Member,9/10/2007,To Date
356,Trump Marks LLC,"New York, NY",LLC,President,2/28/2005,To Date
357,Trump Marks Magazine Corp,"New York, NY",Corporation,Director/President,9/11/2007,To Date
358,Trump Marks Magazine LLC,"New York, NY",LLC,President/Member,9/11/2007,To Date
359,Trump Marks Mattress LLC,"New York, NY",LLC,President/Member,08/07/08,To Date
360,Trump Marks Mattress Member Corp.,"New York, NY",Corporation,Director/Chairman/President,8/7/2008,To Date
361,Trump Marks Menswear LLC,"New York, NY",LLC,President/Member,8/24/2009,To Date
362,Trump Marks Menswear Member Corp.,"New York, NY",Corporation,Director/President,08/24/09,To Date
363,Trump Marks Mortgage Corp.,"New York, NY",Corporation,President/Director,6/19/2007,To Date
364,Trump Marks Mtg LLC,"New York, NY",LLC,President/Member,8/23/2007,To Date
365,Trump Marks Mumbai LLC,"New York, NY",LLC,President/Member,10/11/2010,To Date
366,Trump Marks Mumbai Member Corp,"New York, NY",Corporation,President/Director/Chairman,10/11/2010,To Date
367,Trump Marks New Orleans Corp,"New York, NY",Corporation,Director/President,6/13/2007,9/30/2014
368,Trump Marks New Orleans LLC,"New York, NY",LLC,President/Member,6/13/2007,9/30/2014
369,Trump Marks New Rochelle Corp.,"New York, NY",Corporation,Director/President,6/13/2007,To Date
370,Trump Marks New Rochelle LLC,"New York, NY",LLC,President/Member,6/13/2007,To Date
371,Trump Marks Palm Beach Corp.,"New York, NY",Corporation,Director/President,6/12/2007,To Date
372,Trump Marks Palm Beach LLC,"New York, NY",LLC,President/Member,6/12/2007,To Date
373,Trump Marks Panama Corp,"New York, NY",Corporation,Director/President,4/26/2007,To Date
374,Trump Marks Panama LLC,"New York, NY",LLC,President/Member,4/26/07,To Date
375,Trump Marks Philadelphia Corp,"New York, NY",Corporation,Director/President,4/18/07,To Date
376,Trump Marks Philadelphia LLC,"New York, NY",LLC,President/Member,4/18/2007,To Date
377,Trump Marks Philippines LLC,"New York, NY",LLC,President/Member,3/3/2008,To Date
378,Trump Marks Philippines Corp,"New York, NY",Corporation,Director/President,3/3/2008,To Date
379,Trump Marks Products LLC,"New York, NY",LLC,President/Member,9/13/2010,To Date
380,Trump Marks Products Member Corp,"New York, NY",Corporation,President/Director/Chairman,9/13/2010,To Date
381,Trump Marks Puerto Rico I LLC,"New York, NY",LLC,President/Member,12/11/2007,To Date
382,Trump Marks Puerto Rico I Member Corp,"New York, NY",Corporation,Director/President,12/11/2007,To Date
383,Trump Marks Puerto Rico II LLC,"New York, NY",LLC,President/Member,7/8/2008,To Date
384,Trump Marks Puerto Rico II Member Corp,"New York, NY",Corporation,President/Chairman/Director,7/8/2008,To Date
385,Trump Marks Punta del Este LLC,"New York, NY",LLC,President/Member,1/5/2012,To Date
386,Trump Marks Punta del Este Manager Corp,"New York, NY",Corporation,President/Director/Chairman,1/5/2012,To Date
387,The Donald J. Trump Company LLC,"New York, NY",LLC,Manager,4/7/2014,To Date
388,The Trump Marks Real Estate Corp,"New York, NY",Corporation,Chairman/Director & President,2/23/2007,To Date
389,Trump Marks Real Estate LLC,"New York, NY",LLC,President/Member,8/1/2007,To Date
390,Trump Marks SOHO License Corp,"New York, NY",Corporation,President/Chairman/Director,6/11/2007,To Date
391,Trump Marks SOHO LLC,"New York, NY",LLC,President/Member,6/11/2007,To Date
392,Trump Marks South Africa LLC,"New York, NY",LLC,President/Member,10/1/2009,9/30/2014
393,Trump Marks South Africa Member Corp.,"New York, NY",Corporation,Member,9/15/2008,11/17/2014
394,Trump Marks Stamford Corp,"New York, NY",Corporation,Director/President,6/13/2007,To Date
395,Trump Marks Stamford LLC,"New York, NY",LLC,President/Member,6/13/2007,To Date
396,Trump Marks Sunny Isles I LLC,"New York, NY",LLC,President/Member,11/6/2007,To Date
397,Trump Marks Sunny Isles I Member Corp.,"New York, NY",Corporation,Director/President,11/6/2007,To Date
398,Trump Marks Sunny Isles II LLC,"New York, NY",LLC,President/Member,11/6/2007,To Date
399,Trump Marks Sunny Isles II Member Corp.,"New York, NY",Corporation,Director/President,11/6/2007,To Date
400,Trump Marks Tampa Corp,"New York, NY",Corporation,Director/President,10/26/2007,To Date
401,Trump Marks Tampa LLC,"New York, NY",LLC,President/Member,10/26/2007,To Date
402,Trump Marks Toronto Corp,"New York, NY",Corporation,Director/President,8/9/2007,To Date
403,Trump Marks Toronto LLC,"New York, NY",LLC,President/Member,8/9/2007,To Date
404,Trump Marks Toronto LP (formally Trump Toronto Management LP),"New York, NY",Partnership,Partner,3/19/2008,To Date
405,Trump Marks Waikiki Corp,"New York, NY",Corporation,Director/President,4/10/2007,To Date
406,Trump Marks Waikiki LLC,"New York, NY",LLC,President/Member,4/9/2007,To Date
407,Trump Marks Westchester Corp.,"New York, NY",Corporation,Director/President,6/13/2007,To Date
408,Trump Marks Westchester LLC,"New York, NY",LLC,President/Member,6/13/2007,To Date
409,Trump Marks White Plains Corp,"New York, NY",Corporation,President/Director,6/13/2007,To Date
410,Trump Marks White Plains LLC,"New York, NY",LLC,President/Member,6/13/2007,To Date
411,Trump Miami Resort Management LLC,"New York, NY",LLC,President/Member,3/22/2012,To Date
412,Trump Miami Resort Management Member Corp,"New York, NY",Corporation,President/Director/Chairman,3/22/2012,To Date
413,Trump National Golf Club Colts Neck LLC,"New York, NY",LLC,President/Member,7/10/2008,To Date
414,Trump National Golf Club Colts Neck Member Corp,"New York, NY",Corporation,President/Director/Chairman,7/10/2008,To Date
415,Trump National Golf Club LLC (Trump National Golf Club - Westchester),"New York, NY",LLC,President,8/2/2000,To Date
416,Trump National Golf Club Member Corp,"New York, NY",Corporation,Director/President/Chairman,11/9/2011,To Date
417,Trump National Golf Club Washington DC LLC,"New York, NY",LLC,President,2/3/2009,To Date
418,Trump National Golf Club Washington DC Member Corp.,"New York, NY",Corporation,President/Chairman/Director,2/3/2009,To Date
419,Trump Ocean Manager Inc.,"New York, NY",Corporation,President,9/14/2006,To Date
420,Trump Ocean Managing Member LLC,"New York, NY",LLC,President,8/31/2006,10/27/2015
421,Trump Old Post Office LLC,"New York, NY",LLC,President/Member,6/30/2011,To Date
422,Trump Old Post Office Member Corp.,"New York, NY",Corporation,President/Director/Chairman,6/30/2011,To Date
423,Trump On the Ocean LLC,"New York, NY",LLC,President,9/14/2006 & 2/27/2007,10/28/2015
424,Trump Organization LLC,"New York, NY",LLC,Chairman and President/Member,2/1/2009 & 8/1/2000,To Date
425,"The Trump Organization, Inc.","New York, NY",Corporation,Director/President/Chairman,5/1/1981,To Date
426,"Trump Pageants, Inc.","New York, NY",Corporation,Director & Chairman/President,10/16/1996 & 5/1/2006,To Date
427,Trump Palace Condominium,"New York, NY",Condominium Association,President,3/27/1991,To Date
428,Trump Palace/Parc LLC,"New York, NY",LLC,Member,10/1/1996,To Date
429,Trump Panama Condominium Management LLC,"New York, NY",LLC,President/Member,12/13/2010,To Date
430,Trump Panama Condominium Member Corp,"New York, NY",Corporation,President/Director/Chairman,12/13/2010,To Date
431,Trump Panama Hotel Management LLC,"New York, NY",LLC,Member,8/5/2010,To Date
432,Trump Panama Hotel Management Member Corp,"New York, NY",Corporation,President/Director/Chairman,8/5/2010,To Date
433,Trump Parc East Condominium,"New York, NY",Condominium Association,President,4/30/1996,To Date
434,Trump Park Avenue Acquisition LLC,"New York, NY",LLC,Member/President,11/1/2004,To Date
435,Trump Park Avenue LLC,"New York, NY",LLC,President,1/31/2002,To Date
436,Trump Payroll Chicago LLC,"New York, NY",LLC,President,8/29/2007,To Date
437,Trump Payroll Corp.,"New York, NY",Corporation,President/Treasurer/Secretary/Director,4/16/1996,To Date
438,Trump Phoenix Development LLC,"New York, NY",LLC,President/Member,8/28/2003,To Date
439,Trump Plaza LLC,"New York, NY",LLC,Member,10/27/1997,To Date
440,Trump Plaza Member Inc. (F/K/A Trump Plaza Corp.),"New York, NY",Corporation,Director/President/Treasurer,08/02/2004,To Date
442,Trump Productions LLC (former Rancho Lien LLC),"New York, NY",LLC,Member/President,5/18/2006,To Date
443,Trump Production Managing Member Inc,"New York, NY",Corporation,Director/Chairman/President/Treasurer/Secretary,5/18/2006,To Date
444,Trump Project Management Corp.,"New York, NY",Corporation,President,4/16/1996,To Date
445,Trump Properties LLC,"New York, NY",LLC,President/Member,12/29/2004 & 1/4/2005,4/2/2014
446,"Trump Realty Services, LLC (f/k/a Trump Mortgage Services LLC (03) & Tower Mortgage Services LLC","Palm Beach, Florida",LLC,President/Member,5/9/2000,To Date
447,Trump Restaurants LLC,"New York, NY",LLC,President/Member,7/31/2012,To Date
449,Trump Riverside Management LLC,"New York, NY",LLC,Member,9/26/2000,To Date
450,Trump Ruffin Commercial LLC,"New York, NY",LLC,President,7/25/2007,To Date
451,Trump Ruffin LLC,"Las Vegas, NV",LLC,President,10/22/2002,To Date
452,Trump Ruffin Tower I LLC,"Las Vegas, NV",LLC,President & Director,4/6/2005 & 7/12/2005,To Date
453,Trump Sales & Leasing Chicago LLC,Chicago IL,LLC,Member/President,10/20/2009 & 10/21/2009,To Date
454,Trump Sales & Leasing Chicago Member Corp,"Chicago, IL",Corporation,Member/Director/President,10/20/2009 & 10/21/2009 & 10/21/2009,To Date
455,Trump Scotland Member Inc,"Aberdeen, Scotland",Corporation,Director/President/Chairman,3/1/2006,To Date
456,Trump Scotsborough Square LLC,Scotsborough Sq. VA,LLC,President,7/7/2011,To Date
457,Trump Scotsborough Square Member Corp.,Scotsborough Sq. VA,Corporation,President/Chairman/Director,7/7/2011,To Date
458,Trump SoHo Hotel Condominium New York,"New York, NY",Condominium Association,Member of the Board,6/3/2007,To Date
459,Trump Soho Member LLC,"New York, NY",LLC,Member/President,4/24/2006,To Date
460,Trump Toronto Development Inc,"New York, NY",Corporation,President/Director/Secretary,4/2/2003,To Date
461,Trump Toronto Hotel Management Corp.,"Toronto, CA",Corporation,President,5/30/2008,To Date
462,Trump Toronto Member Corp. (formally Trump Toronto Management Member Corp),"New York, NY",Corporation,Director/Chairman,3/19/2008,To Date
463,Trump Tower Commercial LLC,"New York, NY",LLC,President,12/22/1997,To Date
464,Trump Tower Condominium Residential Section,"New York, NY",Condominium Association,President,3/23/1983,To Date
465,Trump Tower Managing Member Inc,"New York, NY",Corporation,President,12/22/1997,To Date
466,Trump Village Construction Corp.,"New York, NY",Corporation,Director/Vice President,8/1/1969,To Date
467,Trump Vineyard Estates LLC,"New York, NY",LLC,President,3/18/2011,To Date
468,Trump Vineyard Estates Manager Corp.,"New York, NY",Corporation,President/Director/Chairman,3/18/2011,To Date
469,Trump Vineyard Estates Lot 3 Owner LLC (f/k/a Eric Trump Land Holdings LLC),"New York, NY",LLC,President,8/15/2011,To Date
470,Trump Vlneyard Estates Manager Corp,"New York, NY",Corporation,President/Director/Chairman,3/18/2011,Present
471,Trump Virginia Acquisitions LLC (f/k/a Virginia Acquisitions LLC),"New York, NY",LLC,Member/President,3/4/2011 & 1/25/2011,To Date
472,Trump Virginia Acquisitions Manager Corp.,"New York, NY",Corporation,President/Director/Chairman,3/15/2011,To Date
473,Trump Virginia Lot 5 LLC,"New York, NY",LLC,President,6/28/2011,To Date
474,Trump Virginia Lot 5 Manager Corp.,"New York, NY",Corporation,President/Director/Chairman,6/28/2011,To Date
475,Trump Wine Marks LLC,"New York, NY",LLC,President/Secretary/Treasurer,6/21/2011,To Date
476,Trump Wine Marks Member Corp.,"New York, NY",Corporation,Director & Chairman/President,6/21/2011 & 6/21/2008,To Date
477,Trump World Productions LLC,"New York, NY",LLC,Member/President,9/29/2011,To Date
478,Trump World Productions Manager Corp,"New York, NY",Corporation,Director/Chairman/President,9/29/2011,To Date
479,Trump World Publications LLC,"New York, NY",LLC,Member/President,9/29/2011,To Date
480,Trump/New World Property Management LLC,"New York, NY",LLC,President,11/22/2000,To Date
481,Trump's Castle Management Corp,"Atlantic City, NJ",Corporation,President,3/24/1992,To Date
482,Trump Marks White Plains Corp,"New York, NY",Corporation,President/Director,6/13/2007,To Date
484,Turnberry Scotland Managing Member Corp,"Turnberry, Scotland",Corporation,Director/Chairman/President,4/9/2014,To Date
485,Turnberry Scotland LLC,"Turnberry, Scotland",LLC,President,4/9/2014,To Date
486,TW Venture I LLC,"Palm Beach, Florida",LLC,President,11/19/2013,To Date
487,TW Venture II LLC,"Doonbeg, Ireland",LLC,President,1/31/2014,To Date
488,TW Venture I Managing Member Corp,"Palm Beach, Florida",Corporation,President/Director/Chairman,11/19/2013,To Date
489,TW Venture II Managing Member Corp,"Doonbeg, Ireland ",Corporation,President/Director/Chairman,1/31/2014,To Date
490,Ultimate Air Corp.,"New York, NY",Corporation,President/Treasurer/Secretary/Director,4/16/1996 & 12/9/1993,To Date
491,Unit 2502 Enterprises Corp,"Chicago, IL",Corporation,President/Director,7/21/2008,To Date
492,Unit 2502 Enterprises LLC,"Chicago, IL",LLC,Member/President,7/16/08 & 7/18/08,To Date
493,VH Property Corp (Trump National Golf Club - Los Angeles),"Los Angeles, CA",Corporation,Secretary/President/Director,9/22/2000 & 12/2/02 11/26/2002 & 11/25/2002,To Date
494,VHPS LLC,"Los Angeles, CA",LLC,President/Member,5/28/2008 & 12/1/2004,To Date
495,West Palm Operations LLC,"WPB, Florida",LLC,Member/President,8/27/2010 & 9/1/2010,To Date
496,Wexford Hall Inc.,"New York, NY",Corporation,Director/Vice President,8/1/1969,To Date
497,White Course LLC,"Miami, Florida",LLC,President,3/20/2012,To Date
498,White Course Managing Member Corp,"Miami, Florida",Corporation,Director/Chairman/President,3/20/2012,To Date
499,Wilshire Hall LLC,"New York, NY",LLC,Member,11/22/1995,To Date
500,Wollman Rink Operations LLC,"New York, NY",LLC,Member/President,9/24/2001 & 11/1/2001,To Date
501,Yorktown Real Estate LLC (F/K/A/ Yorktown Development Associates LLC),"New York, NY",LLC,Member/President,9/30/1997,To Date
502,"The Fred C. Trump December 16, 1976 Trust- F/B/O Donald J. Trump","New York, NY",Trust,Trustee,12/1/1976,To Date
504,The Fred C. Trump December 16 1976 Trust- F/B/O Robert S. Trump,"New York, NY",Trust,Trustee,12/1/1976,To Date
505,"The Fred C. Trump December 16, 1976 Trust- F/B/O Elizabeth J. Trump","New York, NY",Trust,Trustee,12/1/1976,To Date
509,"Fred C. Trump, GRAT Trust- F/B/O Elizabeth Trump Grau","New York, NY",Trust,Trustee,11/1/1997,To Date
510,Trust U/W/O Fred C. Trump- F/B/O Elizabeth Trump Grau,"New York, NY",Trust,Trustee,4/1/2001,To Date
511,Maryanne Trump GRAT Trust- F/B/O Elizabeth Trump Grau,"New York, NY",Trust,Trustee,11/1/1997,To Date
512,Trust U/W/O Fred C. Trump- F/B/0 the grandchildren of Fred C. Trump,"New York, NY",Trust,Trustee,4/1/2001,To Date
514,"The Donald J. Trump grantor Trust - DJT is the Trustee Successor - Trustee is Donald J. Trump, Jr.","New York, NY",Trust,Trustee,11/1/1997,To Date
515,The Donald J. Trump Revocable Trust,"New York, NY",Trust,Trustee,4/1/2014,To Date
516,"The Police Athletic League, Inc.","New York, NY",Nonprofit,Member of the Board,7/1/1986,To Date
517,DT Bali Golf Manager LLC*,"New York, NY",LLC,President,6/23/2015,To Date
518,DT Bali Golf Manager Member Corp*,"New York, NY",Corporation,Director/Chairman/President,6/23/2015,To Date
519,DT Bali Hotel Manager LLC*,"New York, NY",LLC,President,6/23/2015,To Date
520,DT Bali Hotel Manager Member Corp*,"New York, NY",Corporation,Director/Chairman/President,6/23/2015,To Date
521,DT Bali Technical Services Manager LLC*,"New York, NY",LLC,Member/President,6/23/2015,To Date
522,DT Bali Technical Services Manager Member Corp*,"New York, NY",Corporation,Director/Chairman/President,6/23/2015,To Date
523,DT Connect Europe Limited*,"Turnberry, Scotland",Foreign Entity,Director,2/13/2015,To Date
524,DT Endeavor I LLC,"New York, NY",LLC,President,1/4/2016,To Date
525,DT Endeavor I Member Corp,"New York, NY",Corporation,Director/Chairman/President,1/4/2016,To Date
526,DT Jeddah Technical Services Advisor LLC,"New York, NY",LLC,Member/President,8/21/2015,10/26/2015
527,DT Jeddah Technical Services Advisor Member Corp,"New York, NY",Corporation,Director/Chairman/President,8/21/2015,10/22/2015
528,DT Jeddah Technical Services Manager LLC,"New York, NY",LLC,Member/President,8/31/2015,To Date
529,DT Jeddah Technical Services Manager Member Corp,"New York, NY",Corporation,Director/Chairman/President,8/31/2015,To Date
530,DT Lido Golf Manager LLC*,"New York, NY",LLC,President,6/23/2015,To Date
531,DT Lido Golf Manager Member Corp*,"New York, NY",Corporation,Director/Chairman/President,6/23/2015,To Date
532,DT Lido Hotel Manager LLC*,"New York, NY",LLC,President,6/23/2015,To Date
533,DT Lido Hotel Manager Member Corp*,"New York, NY",Corporation,Director/Chairman/President,6/23/2015,To Date
534,DT Lido Technical Services Manager LLC*,"New York, NY",LLC,Member/President,6/23/2015,To Date
535,DT Lido Technical Services Manager Member Corp*,"New York, NY",Corporation,Director/Chairman/President,6/23/2015,To Date
536,DT Marks Bali LLC *,"New York, NY",LLC,Member/President,6/23/2015,To Date
537,DT Marks Ball Member Corp*,"New York, NY",Corporation,Director/Chairman/President,6/23/2015,To Date
538,DT Marks Lido LLC*,"New York, NY",LLC,Member/President,6/23/2015,To Date
539,DT Marks Lido Member Corp*,"New York, NY",Corporation,Director/Chairman/President,6/23/2015,To Date
540,DT Tower I LLC,"New York, NY",LLC,Member/President,1/4/2016,To Date
541,DT Tower I Member Corp,"New York, NY",Corporation,Director/Chairman/President,1/4/2016,To Date
542,DT Tower II LLC,"New York, NY",LLC,President,1/4/2016,To Date
543,DT Tower II Member Corp,"New York, NY",Corporation,Director/Chairman/President,1/4/2016,To Date
544,DT Tower Kolkata LLC,"New York, NY",LLC,Member/President,11/25/2015,To Date
545,DT Tower Kolkata Managing Member Corp,"New York, NY",Corporation,Director/Chairman/President,11/25/2015,To Date
546,DT Venture I LLC,"New York, NY",LLC,President,1/4/2016,To Date
547,DT Venture I Member Corp,"New York, NY",Corporation,Director/Chairman/President,1/4/2016,To Date
548,DT Venture II LLC,"New York, NY",LLC,President,1/4/2016,To Date
549,DT Venture II Member Corp,"New York, NY",Corporation,Director/Chairman/President,1/4/2016,To Date
550,DTTM Operations LLC,"New York, NY",LLC,Member/President,1/15/2016,To Date
551,DTTM Operations Managing Member,"New York, NY",Corporation,Director/Chairman/President,1/15/2016,To Date
552,EID Venture II LLC,"New York, NY",LLC,Member/President,1/4/2016,To Date
553,EID Venture II Member Corp,"New York, NY",Corporation,Director/Chairman/President,1/4/2016,To Date
554,Mobile Payroll Construction LLC,"New York, NY",LLC,Member/President,6/4/2015,To Date
555,Mobile Payroll Construction Manager Corp,"New York, NY",Corporation,Director/Chairman/President,6/4/2015,To Date
556,THC DC Restaurant Hospitality LLC,"New York, NY",LLC,President,8/17/2015,To Date
557,THC Jeddah Hotel Advisor LLC,"New York, NY",LLC,Member/President,8/21/2015,10/26/2015
558,THC Jeddah Hotel Advisor Member Corp,"New York, NY",Corporation,Director/Chairman/President,8/21/2015,10/22/2010
559,THC Jeddah Hotel Manager LLC,"New York, NY",LLC,Member/President,8/31/2015,To Date
560,THC Jeddah Hotel Manager Member Corp,"New York, NY",Corporation,Director/Chairman/President,8/31/2015,To Date
561,C DEVELOPMENT VENTURES LLC,"New York, NY",LLC,President/Member,4/6/2016,To Date
562,C DEVELOPMENT VENTURES MEMBER CORP,"New York, NY",Corporation,President/Director/Chairman,4/6/2016,To Date
563,TC MARKS BUENOS AIRES LLC,"New York, NY",LLC,President/Member,4/20/2016,To Date
564,WMTMF LLC,"New York, NY",LLC,President/Secretary/Treasurer/Managing Member,9/24/2015,To Date